symptom,disease
"I’m having a lot of pain and some bleeding around my anus. Yes, there’s a small lump, and it’s quite tender to the touch. What could cause these to get worse?",dimorphic hemorrhoids
I’ve been feeling nauseous after starting a new medication. It’s a new blood pressure medication. I’ll try that. Thanks for the advice.,drug reaction
"I’ve had stomach cramps, diarrhea, and a fever. For about a week. Yes, I was in Southeast Asia last month.",typhoid
I’m afraid that my neck pain might be permanent. Is that the case with cervical spondylosis? That’s a relief to hear. I’ll stay consistent with my treatment.,cervical spondylosis
"I have scaly patches on my skin that won’t go away. They are on my elbows, knees, and a bit on my scalp. Yes, they're itchy and sometimes they bleed when scratched.",psoriasis
"My skin has been really dry, and I have some red patches. Mostly on my knees and elbows. They itch a lot, and sometimes they hurt when I scratch them. About a month now. Yes, both. Cold weather and stress make it worse. Yes, my uncle had psoriasis.",psoriasis
"I’ve been using an acne treatment, but it’s not working. It’s been about a month, but I’m still breaking out. What kind of treatments are available?",acne
"My shoulders hurt, and I feel stiffness when I try to raise my arms. The pain is worse in the morning, and it becomes difficult to raise my arms after a long day. Should I avoid lifting heavy things in the meantime?",arthritis
"I keep feeling hungry all the time, no matter how much I eat. Could this be related to diabetes? I’ve had some blurry vision recently. I’ll make an appointment today. Thanks!",diabetes
"I’ve had hemorrhoids for a while, but recently they’ve been hurting and bleeding more than usual. It’s been happening for a few days, and it’s there almost every time I wipe. Should I avoid sitting for long periods?",dimorphic hemorrhoids
"I’ve been coughing a lot, and now I’m feeling nauseous. Yes, it’s getting hard to breathe deeply, and my chest feels tight. Could this just be a severe cold?",pneumonia
"I have a burning sensation when I urinate, and I’m also feeling very fatigued. No, just the burning and fatigue. For about three days now.",urinary tract infection
"I’m dealing with red patches on my skin that are constantly dry. Mostly on my arms and legs. Yes, they itch a lot, especially when it’s colder.",psoriasis
I’ve read that lifestyle changes can help with cervical spondylosis. What kinds of changes should I make? I sit for long hours at my desk every day. I’ll start doing that.,cervical spondylosis
I’ve been feeling very weak and fatigued after starting this new medication. It’s been about a week now. I’ll give it some time and see if it gets better.,drug reaction
I’m feeling a little dizzy and itchy. I had a new salad dressing with a lot of spices.,allergy
"My legs are swollen, and I can see some twisted veins. For about three months now. Yes, they hurt, especially after long periods of standing. Yes, my dad has them.",varicose veins
"I have swollen veins on my legs, and they look twisted. For the past two months. Yes, they hurt when I stand or walk too much. Yes, my mother has them.",varicose veins
"My skin has been really dry, and I have scaly patches. They’re mostly on my arms and legs. Yes, they’re very itchy and sometimes feel painful.",psoriasis
"I’ve noticed some red, scaly patches on my skin. They're mostly on my scalp, elbows, and knees. Yes, they itch a lot, especially when I’m stressed.",psoriasis
"I’ve been feeling nauseous and feverish for a few days now. Yes, I’ve had some stomach pain and loose stools. Yes, I was in India last month.",typhoid
"I’ve had a cold for a few days, and now my throat hurts when I swallow. It’s more noticeable when I swallow food or drink. How long will this pain last? Should I avoid certain foods while my throat hurts?",common cold
"I’ve been feeling feverish and having severe joint pain. Yes, my muscles are sore, and my eyes hurt. Yes, I have a rash, and my nose has been bleeding a little.",dengue
I’ve read about using a TENS unit for neck pain. Could that help with cervical spondylosis? I’ve never used one before. I’ll ask my physical therapist about it.,cervical spondylosis
"I have swollen veins on my legs that I can see bulging. About three months. Yes, they hurt after standing. Yes, my mother had them.",varicose veins
"I’ve had a fever and a cough, and it’s getting harder to breathe. Yes, my chest feels tight, and I can’t take deep breaths without pain. What treatments might I need?",pneumonia
"I’ve been sweating and having severe chills with a fever. Almost every other day, and they last a few hours. Yes, all of those. Yes, I was in a tropical region last month.",malaria
"I’ve been feeling feverish, with chills and sweating, and I’m very fatigued. It started a few days ago, and the fever comes every other day. Yes, I feel completely drained and can’t do anything. Yes, I was in Southeast Asia about three weeks ago.",malaria
"I’m waking up with stomach cramps every morning. The pain is intense but fades a little after I eat. I’ve been taking over-the-counter antacids, but they only seem to help a little. I’ll see my doctor soon. Thanks for the advice.",peptic ulcer disease
"I’ve had a cough for about a week now. It’s mostly dry, but sometimes there’s a little mucus. No fever, just a mild sore throat at the beginning. Should I see a doctor?",common cold
"I have a fever and feel really weak. Yes, my muscles and joints are very sore. Yes, I have a rash and had a nosebleed this morning.",dengue
"I’ve noticed red, dry patches on my skin. They're mostly on my elbows and knees. Yes, they itch a lot.",psoriasis
"I feel like there’s something stuck in my throat sometimes after eating. Yes, I have heartburn regularly. I’ll try that. Thanks!",gastroesophageal reflux disease
"I’m having trouble breathing after I’ve been walking for a while. Could it be asthma? Yes, I’ve been wheezing and feeling tight in my chest. Should I stop walking if this happens again?",bronchial asthma
Is it okay to exercise if I have high blood pressure? I’ve been walking regularly. I’ll keep it up.,hypertension
"I’ve been feeling pressure in my bladder and pain when I urinate. No fever, just the pain and pressure. For the last few days.",urinary tract infection
Can physical therapy completely heal cervical spondylosis? So it won’t go away completely? I’ll focus on managing the symptoms.,cervical spondylosis
I’ve been told to avoid caffeine. How does it affect blood pressure? I drink coffee every morning. I’ll try switching to decaf.,hypertension
"I’ve been feeling feverish and have muscle aches. Yes, both my eyes and joints hurt. Yes, I have a rash and some nosebleeds.",dengue
"I have small blisters on my skin that are leaking yellow fluid. Yes, they’re crusting. They’re mostly itchy.",impetigo
"I’ve noticed that my hemorrhoids seem to be getting bigger and more painful. Yes, there’s some itching, and I noticed blood on the toilet paper again. Should I try any home remedies in the meantime?",dimorphic hemorrhoids
"I have itchy patches on my skin that are red and flaky. Mainly on my elbows and knees. About two months. Yes, both make it worse. Yes, my dad has psoriasis.",psoriasis
"I’ve been coughing for a week, and now I’m feeling really weak and fatigued. Yes, I feel like I can’t breathe deeply, and my chest hurts when I cough. What will happen at the doctor’s office?",pneumonia
"I’ve been seeing small pimples on my forehead, and I’m not sure what’s causing them. I touch my forehead a lot when I’m stressed, and I use gel in my hair. Should I change my hair gel?",acne
"My skin looks yellow, and I feel bloated after eating. It started last week, and my appetite is lower than usual. Yes, both dark urine and pale stools.",jaundice
I’ve been feeling some chest tightness lately. Could this be related to my blood pressure? I’ll make an appointment right away.,hypertension
I’ve been waking up with migraines. Why is that happening? I’m not sleeping well lately. I’ll work on getting better sleep.,migraine
"I’ve developed a rash that’s very itchy and blistering. They’re mostly on my torso, but some are on my arms. Yes, I’ve had a low fever and feel tired.",chicken pox
"I’ve been burping a lot lately, and my stomach feels bloated after meals. Yes, I feel a burning sensation in my chest after meals. I’ll try that. Thanks!",gastroesophageal reflux disease
"I feel nausea and a burning sensation in my stomach in the mornings, but it gets better after I eat. Sometimes I feel bloated, and the pain can keep me awake. I’ll definitely make an appointment. Thanks!",peptic ulcer disease
"I’ve noticed red, scaly patches on my skin. Mostly on my elbows and knees, but I have a few on my scalp too. Yes, they itch a lot, and sometimes they feel a bit sore. About two months ago. They’ve gotten worse over time. Stress definitely seems to make it worse, and my skin gets drier in the cold weather. Yes, my dad had psoriasis.",psoriasis
"I’ve lost my sense of smell and taste, but I don’t feel too sick otherwise. Yes, my nose is pretty stuffed up. How long will that take?",common cold
I noticed my skin breaking out after using a new lotion. Maybe the fragrance.,allergy
"I’ve been noticing more wheezing in the morning. Is that a sign of asthma? Yes, I’ve had asthma for years, and I have seasonal allergies. I should probably visit my doctor.",bronchial asthma
"I’ve had a high fever and stomach pain for a few days. Yes, I’ve had diarrhea. Yes, I visited Southeast Asia.",typhoid
My baby’s skin looks yellow. Is it serious? She’s five days old. I noticed it yesterday.,jaundice
"I have swollen veins on my legs that I can see bulging. For about two months. Yes, they hurt after standing for too long. Yes, my dad has them.",varicose veins
"I’ve heard cervical spondylosis is related to aging. Is that true? I’m in my 40s, so could it be starting for me? I’ll make an appointment.",cervical spondylosis
"I’ve had flaky, red patches on my skin for a while now. Mostly on my knees, elbows, and lower back. Yes, they’re very itchy, and they sometimes crack open.",psoriasis
I’m experiencing shoulder pain along with my neck stiffness. Could this be related to cervical spondylosis? I didn’t realize it could affect my shoulders too. I’ll ask my doctor about this.,cervical spondylosis
I’ve been getting migraines almost every week. Is that normal? I’ll make an appointment to discuss it.,migraine
"My acne flares up a lot around my jawline and neck. Yes, it’s always worse right before my period. Are there any over-the-counter treatments I can try first?",acne
"I’ve been feeling more tired than usual. Could it be related to my blood pressure? I’ll mention it at my next appointment. Hopefully, it's just temporary.",hypertension
"I’ve been feeling very tired and coughing a lot, with thick mucus. Yes, it’s harder to breathe, and I get winded after walking short distances. What should I expect when I see the doctor?",pneumonia
"I have a fever, stomach cramps, and diarrhea. For about a week now. Yes, I was in Africa a few weeks ago.",typhoid
"My child has a high fever and doesn’t want to eat. Yes, the fever spikes every other day, and he’s very weak. Yes, we visited a village a few weeks ago.",malaria
"I’ve had a cough and a fever for a few days now. Yes, it feels like my chest is tight, and it’s hard to take a deep breath. What treatments might I need?",pneumonia
"I’m feeling some pressure and discomfort around my anus, and there’s occasional bleeding. It’s intermittent, but I do notice blood when wiping after most bowel movements. Can sitting in a warm bath help with the pain?",dimorphic hemorrhoids
"I’ve been feeling weak and there’s pain when I urinate. About two days now. Yes, it has a strong odor.",urinary tract infection
"I’ve been feeling like there’s a lump in my throat. Yes, I have heartburn a lot, but I didn’t know it could cause that feeling. I’ll try those tips. Thanks!",gastroesophageal reflux disease
"I’ve been experiencing pain and swelling in my elbows, especially when I try to bend them. Yes, the pain is worse when I lift things or even after typing for a long time. Should I rest my elbows until I can see a doctor?",arthritis
I have a lot of sneezing fits in the morning. I haven’t tried that yet.,allergy
"I’ve been getting a lot of stomach pain after drinking coffee. Yes, the pain becomes more intense after coffee. I’ll try cutting out coffee for a while.",peptic ulcer disease
"My neck feels stiff when I wake up, and the pain worsens throughout the day. I often sleep with my neck in an awkward position. I’ll try using a neck pillow.",cervical spondylosis
I’ve been getting migraines after meals. Could it be food-related? I’ve noticed chocolate sometimes makes it worse. I’ll try cutting it out for a bit.,migraine
"I’ve been noticing that my veins are bulging and swollen. Mainly on my calves and thighs. For about two months. Yes, my mom had them.",varicose veins
"I’ve been having persistent pain and swelling in my knees for months now. The pain comes and goes, but the swelling is there most of the time. Would a knee brace help reduce the swelling?",arthritis
"My lips are sore, and the corners are cracked. They’re red, but sometimes there’s a bit of white. Yes, my lips have been dry, so I lick them often. Should I stop using lip balm?",fungal infection
"My acne has left a lot of dark spots on my face. Not really, I didn’t think it was important. What can I do to lighten the spots?",acne
"I have a rash that’s really itchy. There are small red spots, and some of them are blistering. Yes, I have a low fever and feel exhausted.",chicken pox
"I’ve noticed swelling and a lump near my anus, and it’s been painful when I sit. It’s hard, and I see some blood on the toilet paper. How long does it take for a thrombosed hemorrhoid to heal?",dimorphic hemorrhoids
"I’ve been feeling more thirsty than usual lately. Could it be related to diabetes? Yes, I’ve been going to the bathroom a lot too. I’ll get checked. Thanks for the advice!",diabetes
"I’ve been feeling feverish and having severe headaches. Yes, I have muscle pain, and it feels like my eyes are hurting. I have a rash and some nosebleeds.",dengue
I’ve been feeling more hungry than usual after starting my new medication. I’m just eating more overall. I’ll mention it to them. Thanks!,drug reaction
Is it okay to exercise if I have a migraine? I don’t feel up to any exercise when I have a migraine. I’ll try gentle stretches when I’m feeling better.,migraine
"I have swollen veins that are visible on my legs. For about two months. Yes, they hurt after standing for too long. Yes, my aunt has them.",varicose veins
"I’ve noticed a small lump near my anus, and it’s been painful when sitting. It’s hard, and I noticed some blood when I wipe. Is there any way to reduce the pain at home?",dimorphic hemorrhoids
"I’ve been running a fever off and on, and I’ve been feeling very weak. It’s been about a week, and the fever comes every two days. I feel drained after it subsides. Yes, I get chills first, then sweat a lot afterward. Yes, I went to a rural area in Africa about three weeks ago.",malaria
"I’ve tried all kinds of treatments for my migraines, but they’re still affecting my life. I’ve been feeling hopeless about it. I’ll keep trying and reach out to my doctor again.",migraine
"My stomach pain is worse when I lie down at night. Yes, I can’t seem to get comfortable at night. I’ll talk to them about it.",peptic ulcer disease
Is there any way to prevent cervical spondylosis from getting worse over time? I haven’t been exercising much lately. I’ll start exercising more regularly.,cervical spondylosis
"My skin has developed sores that are leaking fluid. Yes, they are. They’re really itchy.",impetigo
"My feet are peeling and itchy after wearing sandals all day. They’re dry and peeling in patches. Yes, I’ve been at the beach a lot. Should I stop going barefoot on the sand?",fungal infection
"I’ve noticed some red rashes on my skin after starting a new medication. I started taking antibiotics for a cold. No, just the rash. I’ll call my doctor. Thanks.",drug reaction
"I’ve been having high fever, chills, and muscle pain. Yes, my eyes hurt, and I feel really weak. Yes, I have a rash, and my nose has been bleeding a little.",dengue
"I’ve been feeling an ache and pressure around my anus, and now I’m noticing blood when I wipe. Yes, there’s some swelling, and my stool has been harder than usual. Can hemorrhoids cause long-term problems?",dimorphic hemorrhoids
"I feel like I’m getting stomach cramps after eating, especially after meals with acidic foods. Yes, I do get heartburn, especially after spicy foods. I’ll talk to my doctor soon.",peptic ulcer disease
I’ve been feeling stiffness and pain in my shoulders and neck. It’s worse when I try to turn my head or lift my arms. Will stretching exercises help with the stiffness?,arthritis
"My stomach feels tight and painful, and I feel bloated often. It seems to get worse after eating, especially after big meals. I’ll try to eat smaller meals and talk to my doctor.",peptic ulcer disease
"I’ve been feeling lightheaded lately. Could it be related to my hypertension? No, I haven’t checked it in a few weeks. I’ll check it now and make an appointment if needed.",hypertension
"I have visible veins on my legs that look swollen and twisted. For about two months. Yes, they hurt after a long day of standing. Yes, my grandmother had them.",varicose veins
"I’ve noticed some dark spots on my skin after taking this new medication. No, just the dark spots. I’ll get in touch with them. Thanks for the advice.",drug reaction
"I’ve had a cough for over a week, and now my chest hurts when I breathe. Yes, I have a low-grade fever, and I’ve been feeling chills. How long will it take to recover from pneumonia?",pneumonia
"My hemorrhoids are swollen, and I feel a constant ache. Yes, I see some blood after wiping, and my stool has been harder than usual. Is there any specific fiber I should focus on?",dimorphic hemorrhoids
"I’ve been feeling more irritable and moody since starting this new medication. Mostly just irritable and frustrated, nothing more severe. I’ll make an appointment soon. Thanks for the suggestion.",drug reaction
"I get pain in my stomach that feels like it’s burning. Yes, I take ibuprofen often for headaches. I’ll try to avoid ibuprofen and talk to my doctor.",peptic ulcer disease
"I’ve noticed some red patches on my skin that are flaky and itchy. Mainly on my elbows and knees. About two months. Yes, both. Yes, my father had psoriasis.",psoriasis
"I’ve developed a rash with itchy blisters. They’re all over my body, especially on my back and chest. Yes, I’ve had a mild fever and feel very tired.",chicken pox
I’ve heard that certain oils can help with acne. Is that true? So should I avoid using oils on my face? What are some oils I should avoid?,acne
"I’m breaking out in itchy blisters all over my body. Yes, I’ve had a mild fever and feel weak.",chicken pox
"I have dry, red patches on my skin. On my knees and elbows. They itch a lot and feel sore. About two months. Yes, both seem to trigger it. Yes, my mother had it.",psoriasis
I’ve been feeling more irritated and stressed than usual. Could that be linked to diabetes? I’ve definitely been feeling more tired lately and thirsty all the time. I’ll schedule an appointment. Thanks for the advice!,diabetes
"I’ve been using acne treatments, but my skin is getting really dry and flaky. No, I thought it would make my acne worse. How often should I apply it?",acne
"I’ve been feeling feverish and nauseous. Yes, I’ve had stomach pain and diarrhea. Yes, I was in Southeast Asia recently.",typhoid
"I feel weak, and I’ve had stomach pain and fever. Yes, I’ve had diarrhea. Yes, I was in Africa.",typhoid
"I’ve been feeling unusually tired, even though I’m sleeping well. Could diabetes be the cause? I feel drained in the afternoons, even after eating. I’ll try that. Thanks!",diabetes
"I’ve had yellow skin and itching for a week now. The yellowing started a week ago, and the itching has gotten worse. Yes, my urine is dark, and my stools are pale. My stomach feels tight sometimes.",jaundice
I’m wondering if physical therapy is covered by insurance for cervical spondylosis treatment. I’ll check with my insurance.,cervical spondylosis
I feel like my migraines are getting worse. What should I do? I’ll definitely call my doctor.,migraine
"I’ve been having trouble with hemorrhoids for a while, and now I have more bleeding than usual. Yes, it’s very painful to sit down, and I notice blood when I wipe. Should I be worried about the bleeding?",dimorphic hemorrhoids
"I have red, flaky patches on my knees and elbows. They sting when I scratch them, but they don’t hurt otherwise. It started about two months ago. Yes, the cold weather and stress make it worse. Yes, my dad has it.",psoriasis
"I’ve been feeling stiffness and pain in my neck and shoulders. It’s mostly in my neck and shoulders, but sometimes I feel a sharp pain in my upper back. What treatments are available for arthritis in the neck?",arthritis
"I get acne on my back, but I’m not sure how to treat it. I don’t always, and I think that’s when the breakouts happen. Should I use a different body wash for my face and back?",acne
I get a migraine whenever the weather changes. Can that happen? That explains a lot! I’ll keep a migraine diary.,migraine
I’ve heard that weight can affect cervical spondylosis. Should I be concerned about my weight? I’ve been trying to lose a little weight. I’ll keep working on it.,cervical spondylosis
"I get wheezy after exercise, especially during cold weather. I haven’t been using it before exercise. I’ll try that next time.",bronchial asthma
"I have a fever that keeps coming back, and I feel exhausted. Every second day, and I have chills, sweating, and headaches. Yes, I went hiking in a forest two weeks ago.",malaria
"I’ve been feeling feverish and have body aches. Yes, my eyes and joints hurt. Yes, I have a rash and have experienced some nosebleeds.",dengue
"I’ve been feeling a constant need to urinate and it burns when I do. No, but the urine looks a bit cloudy. About two days now.",urinary tract infection
"I was recently diagnosed with asthma, but I’m not sure how to manage it. Yes, my doctor gave me an inhaler for when I have symptoms. What else should I be doing to manage my asthma?",bronchial asthma
"I’ve been having a lot of burping and bloating, especially after lunch. Yes, I get a burning sensation in my chest sometimes. I’ll try that. Thanks!",gastroesophageal reflux disease
"I feel like I’m having trouble swallowing since I started my new medication. No swelling, just the feeling that it’s harder to swallow food. I’ll call them today.",drug reaction
"I have dry, red patches on my elbows and knees. For about two months. Yes, they itch a lot, and sometimes they sting. Yes, both. Cold weather and stress make it worse. Yes, my mom had psoriasis.",psoriasis
"I’ve been feeling some pressure and burning around my anus, and I noticed a bit of blood. Yes, there’s swelling, and it’s been itching quite a lot. How long will it take for these symptoms to go away?",dimorphic hemorrhoids
"I’m feeling very itchy and have small red spots. Yes, they are. Yes, I have a mild fever and feel tired.",chicken pox
Can stress alone cause high blood pressure? I’ve been really stressed out at work. I’ll try some breathing exercises.,hypertension
"I’ve been getting a lot of blackheads on my nose and chin. I’ve been using a scrub, but it doesn’t seem to help much. How often should I use it?",acne
"My throat feels sore and dry after eating, especially when I eat spicy food. Yes, I often get heartburn after meals. I’ll try eating smaller meals. Thanks for the advice!",gastroesophageal reflux disease
